TriggerName,FiringCount
HLT_Mu7p5_L2Mu2_Jpsi_v14,4
HLT_IsoMu24_eta2p1_MediumDeepTauPFTauHPS45_L2NN_eta2p1_CrossL1_v4,4
Dataset_HcalNZS,4
HLT_Mu12_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_DZ_v19,4
Dataset_ExpressAlignment,3
HLT_Ele30_WPTight_Gsf_v5,3
HLT_ECALHT800_v14,3
HLT_Ele115_CaloIdVT_GsfTrkIdT_v19,3
HLT_IsoMu50_AK8PFJet220_SoftDropMass40_v4,3
HLT_Ele15_IsoVVVL_PFHT450_PFMET50_v20,3
HLT_Ele15_IsoVVVL_PFHT450_v20,3
HLT_QuadPFJet111_90_80_15_v9,3
HLT_DiPFJetAve500_v18,3
HLT_QuadPFJet111_90_80_30_PNet1CvsAll0p6_VBF3Tight_v2,3
HLT_Ele32_WPTight_Gsf_L1DoubleEG_v13,3
HLT_Ele32_WPTight_Gsf_v19,3
HLT_Ele35_WPTight_Gsf_v13,3
HLT_Ele38_WPTight_Gsf_v13,3
HLT_Ele40_WPTight_Gsf_v13,3
HLT_HT300_Beamspot_v15,3
HLT_PFHT590_v21,3
HLT_Ele50_CaloIdVT_GsfTrkIdT_PFJet165_v22,3
HLT_Photon60_R9Id90_CaloIdL_IsoL_DisplacedIdL_PFHT400_v2,3
HLT_HT200_L1SingleLLPJet_DisplacedDijet40_Inclusive1PtrkShortSig5_v5,3
Dataset_DQMOnlineBeamspot,3
HLT_VBF_DiPFJet110_40_Mjj1000_Detajj3p5_TriplePFJet_v1,3
HLT_CaloMET90_NotCleaned_v8,3
HLT_Mu8_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_DZ_PFDiJet30_PNet2BTagMean0p50_v1,3
HLT_Mu8_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_DZ_DoubleAK4PFJet60_30_PNet2BTagMean0p50_v2,3
HLT_PFHT400_SixPFJet32_v13,3
HLT_Photon60_R9Id90_CaloIdL_IsoL_DisplacedIdL_PFHT350_v2,3
HLT_IsoMu50_AK8PFJet230_SoftDropMass40_v4,3
HLT_DoubleMu3_Trk_Tau3mu_NoL1Mass_v10,3
HLT_DoubleMu3_Trk_Tau3mu_v16,3
HLT_AK8PFJet250_SoftDropMass40_PNetTauTau0p05_v1,3
HLT_Physics_v9,3
